Programs,Admission_Average,Local_Tuition,International_Tuition,Requirements ,Co-op,Target_Enrolment,Supplementary_Application
Music (BMus) and Science (BSc),75,6376,25554,ENG4U/French4U,No,N/A,No
Music (BMus),75,6376,25554,ENG4U/French4U,No,N/A,No
National Program (JD and LLL),75,6376,25554,ENG4U/French4U,No,N/A,No
Nursing,80,6376,25554,"ENG4U/French4U,SBI4U,SCH4U,",No,N/A,No
Ophthalmic Medical Technology (admission into 1st and 2nd years),80,6376,25554,"ENG4U/French4U,MHF4U,MCV4U,Two of SBI4U/SPH4U/SCH4U",No,N/A,No
Philosophy and Political Science (BA),80,6376,25554,ENG4U/French4U,No,N/A,No
Philosophy and Political Science (BSocSc),75,6376,25554,ENG4U/French4U,No,N/A,No
Philosophy,75,6376,25554,ENG4U/French4U,No,N/A,No
Physical Geography and Geomatics,85,6376,25554,"ENG4U/French4U,MHF4U,MCV4U,SBI4U,SCH4U,SPH4U",Yes,N/A,No
Physics (BSc) and Electrical Engineering (BASc),80,6376,25554,"ENG4U/French4U,MHF4U,MCV4U,Two of SBI4U/SPH4U/SCH4U",Yes,N/A,No
Physics-Mathematics,80,6376,25554,"ENG4U/French4U,MHF4U,MCV4U,Two of SBI4U/SPH4U/SCH4U",Yes,N/A,No
Physics,80,6376,25554,"ENG4U/French4U,MHF4U,MCV4U,Two of SBI4U/SPH4U/SCH4U",Yes,N/A,No
Piano pedagogy (certificate),75,6376,25554,ENG4U/French4U,No,N/A,No
Political Science (BSocSc) and Juris Doctor (JD),75,6376,25554,ENG4U/French4U,No,N/A,No
Political Science,75,6376,25554,ENG4U/French4U,No,N/A,No
Psychology (BA),75,6376,25554,ENG4U/French4U,No,N/A,No
Psychology (BSc),75,6376,25554,"ENG4U/French4U,MHF4U,Two of MCV4U/SBI4U/SPH4U/SCH4U",No,N/A,No
Psychology and Linguistics (BA),75,6376,25554,ENG4U/French4U,No,N/A,No
Public Administration and Political Science,75,6376,25554,ENG4U/French4U,No,N/A,No
Public Administration,75,6376,25554,ENG4U/French4U,No,N/A,No
Public Relations,75,6376,25554,ENG4U/French4U,No,N/A,No
Rédaction professionnelle et édition (certificate),75,6376,25554,ENG4U/French4U,No,N/A,No
Religious Studies,75,6376,25554,ENG4U/French4U,No,N/A,No
Second Language Teaching (ESL or FLS),75,6376,25554,ENG4U/French4U,No,N/A,No
Social Sciences (3-year program),75,6376,25554,ENG4U/French4U,No,N/A,No
Social Work,75,6376,25554,ENG4U/French4U,No,N/A,No
Sociology,75,6376,25554,ENG4U/French4U,No,N/A,No
Statistics,80,6376,25554,"ENG4U/French4U,MHF4U,MCV4U",Yes,N/A,No
Theatre,75,6376,25554,ENG4U/French4U,No,N/A,No
Translation (BA),75,6376,25554,ENG4U/French4U,Yes,N/A,No
Translation (certificate),75,6376,25554,ENG4U/French4U,No,N/A,No
Visual Arts (BA or BFA),75,6376,25554,ENG4U/French4U,No,N/A,No
Women's Studies and Political Science,75,6376,25554,ENG4U/French4U,No,N/A,No
Women's Studies and Sociology,75,6376,25554,ENG4U/French4U,No,N/A,No
Women's Studies,75,6376,25554,ENG4U/French4U,No,N/A,No
World Languages and Cultures,75,6376,25554,ENG4U/French4U,No,N/A,No
