Program,Admission_Average,Local_Tuition,International_Tuition,Requirements,Co-op,Target_Enrolloment,Supplementary_Application
Human Resources Management,75-79,"6,980.7","29,495.7","ENG4U, 4U math
And four additional 4U or M courses",No,N/A,N/A
Human Rights and Equality Studies,75,"6,980.7","29,495.7","ENG4U, five additional 4U or M courses",No,N/A,N/A
Humanities,75,"6,980.7","29,495.7","ENG4U, five additional 4U or M courses",No,N/A,N/A
Indigenous Studies,75,"6,980.7","29,495.7","ENG4U, five additional 4U or M courses",No,N/A,N/A
Individualized Studies,75,"6,980.7","29,495.7","ENG4U, five additional 4U or M courses",No,N/A,N/A
Information Technology,75-79,"6,980.7","29,495.7","ENG4U, 4U math
And four additional 4U or M courses",No,N/A,N/A
Integrated Science,85,"6,980.7","29,495.7","ENG4U, MHF4U, MCV4U
Biology and Chemistry and Physics (two must be at the Grade 12 level, one can be at the Grade 11 level)
And a minimum of six academic Grade 12 U/M subjects",No,N/A,N/A
Interdisciplinary Social Science,75,"6,980.7","29,495.7","ENG4U, five additional 4U or M courses",No,N/A,N/A
International Development,75-79,"6,980.7","29,495.7","ENG4U, five additional 4U or M courses",No,N/A,N/A
International Development Studies,75,"6,980.7","29,495.7","ENG4U, five additional 4U or M courses",No,N/A,N/A
International Studies & Business Administration,75-79,"9,653.4","31,483","ENG4U or FRA4U
MHF4U
MCV4U or MDM4U
And three additional 4U or M courses:
4U French (recommendation)
No prerequisite below 70%
 No more than two 4M courses will be considered.",No,N/A, A Bilingual Digital Portfolio and interview is also required.
Italian Studies,75,"6,980.7","29,495.7","ENG4U, five additional 4U or M courses",No,N/A,N/A
Jewish Studies,75,"6,980.7","29,495.7","ENG4U, five additional 4U or M courses",No,N/A,N/A
Kinesiology and Health Science,75-84,"6,980.7","29,495.7","ENG4U, 4U math
SBI4U or SCH4U or SPH4U
And three additional 4U or M courses",No,N/A,N/A
Law and Society,75,"6,980.7","29,495.7","ENG4U, five additional 4U or M courses",No,N/A,N/A
Linguistics,75,"6,980.7","29,495.7","ENG4U, five additional 4U or M courses",No,N/A,N/A
Mathematical Biology,75-84,"6,980.7","29,495.7","ENG4U, SBI4U, SCH4U, MHF4U, MCV4U
And one additional 4U or M courses:
SPH4U (recommendation)",No,N/A,N/A
Mathematics,75-84,"6,980.7","29,495.7","ENG4U, MHF4U
SBI4U or SCH4U or SPH4U
And three additional 4U or M courses:
MCV4U (recommendation)",No,N/A,N/A
Mathematics for Education,75-84,"6,980.7","29,495.7","ENG4U, MHF4U
And four additional 4U or M courses:
MCV4U (recommendation)",No,N/A,N/A
Music ,75,"6,980.7","29,495.7","ENG4U, five additional 4U or M courses",No,N/A,Required
