Program,Admission_Average,Local_Tuition,International_Tuition,Requirements,Co-op,Target_Enrolloment,Supplementary_Application
Political Science,77,6981,29496,"ENG4U, five additional 4U or M courses",No,N/A,No
Portuguese & Luso-Brazilian Studies,77,6981,29496,"ENG4U, five additional 4U or M courses",No,N/A,No
Professional Writing,75,6981,29496,"ENG4U, five additional 4U or M courses",No,N/A,No
Psychology (BA),77,6981,29496,"ENG4U, five additional 4U or M courses",No,N/A,No
Psychology (BSc),77,6981,29496,"ENG4U, 4U math, SCH4U/SPH4U, Three additional 4U or M courses",No,N/A,No
Public Administration,75,6981,29496,"ENG4U, 4U math, four additional 4U or M courses",No,N/A,No
Religious Studies,75,6981,29496,"ENG4U, five additional 4U or M courses",No,N/A,No
Sexuality Studies,77,6981,29496,"ENG4U, five additional 4U or M courses",No,N/A,No
Social Work,85,6981,29496,"ENG4U, five additional 4U or M courses",No,N/A,No
Sociology,77,6981,29496,"ENG4U, five additional 4U or M courses",No,N/A,No
Spanish,75,6981,29496,"ENG4U, five additional 4U or M courses",No,N/A,No
Statistics (BA),80,6981,29496,"ENG4U, MHF4U, four additional 4U or M courses",No,N/A,No
Statistics (BSc),80,6981,29496,"ENG4U, MHF4U, SBI4U/CH4U/PH4U, three additional 4U or M course",No,N/A,No
Theatre,75,6981,29496,"ENG4U, five additional 4U or M courses",No,N/A,No
Translation,77,6981,29496,"4U English, 4U French, four additional 4U or M courses",No,N/A,No
Undecided Major (BSc),80,6981,29496,"ENG4U,MHF4U,SBI4U/CH4U/SPH4U",No,N/A,No
Undecided Major (BA),75,6981,29496,"ENG4U, five additional 4U or M courses",No,N/A,No
Urban Studies,75,6981,29496,"ENG4U, five additional 4U or M courses",No,N/A,No
Urban Sustainability,77,6981,29496,ENG4U,No,N/A,No
Visual Arts,75,6981,29496,"ENG4U, five additional 4U or M courses",No,N/A,No
Work and Labour Studies,75,6981,29496,"ENG4U, five additional 4U or M courses",No,N/A,No
